ID,lpep_pickup_datetime,Lpep_dropoff_datetime,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Trip_distance,trip_time,TripTimes,TripDistance,AveSpeed
12167,2016/1/1 1:42,2016/1/1 1:56,-73.99292755,40.69760132,-73.98329163,40.71699524,2.8,0 days 00:13:40,0.227777778,4.5061632,19.78315551
12168,2016/1/1 1:43,2016/1/1 1:55,-73.98216248,40.68309402,-73.95101166,40.67089081,2.5,0 days 00:11:59,0.199722222,4.02336,20.14477886
12169,2016/1/1 1:42,2016/1/1 2:12,-73.94581604,40.75571442,-73.94585419,40.75563812,2.8,0 days 00:30:33,0.509166667,4.5061632,8.850075025
12170,2016/1/1 1:42,2016/1/1 1:49,-73.85866547,40.75055313,-73.85823822,40.73803329,1.4,0 days 00:07:11,0.119722222,2.2530816,18.81924306
12171,2016/1/1 1:42,2016/1/1 1:55,-73.95326996,40.67062378,-73.96411896,40.71932983,3.7,0 days 00:12:56,0.215555556,5.9545728,27.6243068
12172,2016/1/1 1:42,2016/1/1 1:46,-73.87562561,40.67631912,-73.86821747,40.66438675,1.1,0 days 00:04:11,0.069722222,1.7702784,25.39044717
12173,2016/1/1 1:42,2016/1/1 2:02,-73.91907501,40.74610519,-73.84903717,40.72729492,4.5,0 days 00:19:48,0.33,7.242048,21.9456
12174,2016/1/1 1:42,2016/1/1 1:45,-73.94536591,40.70862198,-73.94913483,40.71417236,0.6,0 days 00:03:35,0.059722222,0.9656064,16.16829321
12175,2016/1/1 1:42,2016/1/1 1:47,-73.83045197,40.75944519,-73.81816864,40.74382019,1.4,0 days 00:05:30,0.091666667,2.2530816,24.579072
12176,2016/1/1 1:42,2016/1/1 2:16,-73.94113922,40.74780273,-73.98088837,40.74458313,7.5,0 days 00:34:46,0.579444444,12.07008,20.83043528
12177,2016/1/1 1:42,2016/1/1 2:09,-73.9260788,40.76229477,-73.93186188,40.85829163,11,0 days 00:27:50,0.463888889,17.702784,38.16169006
12178,2016/1/1 1:42,2016/1/1 1:50,-73.92093658,40.69854355,-73.90382385,40.69052505,1.2,0 days 00:08:36,0.143333333,1.9312128,13.47357767
12179,2016/1/1 1:42,2016/1/1 1:55,-73.94772339,40.70695114,-73.96128845,40.71454239,2.3,0 days 00:13:34,0.226111111,3.7014912,16.37023135
12180,2016/1/1 1:42,2016/1/1 1:51,-73.90408325,40.75400925,-73.92125702,40.74332428,1.7,0 days 00:08:34,0.142777778,2.7358848,19.16183907
12181,2016/1/1 1:42,2016/1/1 1:54,-73.94837952,40.80155182,-73.94091797,40.81925201,1.7,0 days 00:12:50,0.213888889,2.7358848,12.79114971
12182,2016/1/1 1:43,2016/1/1 1:52,-73.88972473,40.69707489,-73.88549805,40.72208023,2.6,0 days 00:09:23,0.156388889,4.1842944,26.75570131
12183,2016/1/1 1:41,2016/1/1 1:56,-73.88577271,40.74745178,-73.83351898,40.76075363,6.1,0 days 00:14:12,0.236666667,9.8169984,41.48027493
12184,2016/1/1 1:41,2016/1/1 1:52,-73.84432983,40.7213707,-73.81758118,40.6796608,4.1,0 days 00:10:47,0.179722222,6.5983104,36.71393731
12185,2016/1/1 1:42,2016/1/1 1:53,-73.9545517,40.80556107,-73.93872833,40.83996964,2.7,0 days 00:11:13,0.186944444,4.3452288,23.243423
12186,2016/1/1 1:42,2016/1/1 2:05,-73.98197937,40.67941284,-73.92670441,40.68899536,3.7,0 days 00:23:08,0.385555556,5.9545728,15.44413695
12187,2016/1/1 1:42,2016/1/1 1:46,-73.92556,40.67906189,-73.91251373,40.68233871,0.9,0 days 00:04:19,0.071944444,1.4484096,20.13233421
